"","species","English.Name","rank"
"12","Histrionicus histrionicus","Harlequin Duck",1
"60","Falco peregrinus","Peregrine Falcon",2
"29","Cygnus buccinator","Trumpeter Swan",3
"52","Contopus cooperi","Olive-sided Flycatcher",4
"65","Cypseloides niger","Black Swift",5
"31","Stercorarius parasiticus","Parasitic Jaeger",6
"74","Aechmophorus occidentalis","Western Grebe",7
"8","Buteo lagopus","Rough-legged Hawk",8
"22","Clangula hyemalis","Long-tailed Duck",9
"44","Gavia pacifica","Pacific Loon",10
"123","Ardea herodias","Great Blue Heron",11
"127","Phalacrocorax auritus","Double-crested Cormorant",12
"62","Larus californicus","California Gull",13
"111","Melanitta perspicillata","Surf Scoter",14
"42","Cathartes aura","Turkey Vulture",15
"53","Progne subis","Purple Martin",16
"129","Hirundo rustica","Barn Swallow",17
"69","Gavia stellata","Red-throated Loon",18
"16","Bubo virginianus","Great Horned Owl",19
"87","Mergus serrator","Red-breasted Merganser",20
